"word1","word2","freq"
"right","now",136
"cant","wait",91
"last","night",82
"dont","know",70
"im","going",67
"good","morning",55
"looking","forward",51
"looks","like",50
"feel","like",47
"dont","want",46
"happy","birthday",45
"new","york",45
"can","get",44
"good","luck",42
"just","got",42
"im","sure",41
"dont","think",40
"mothers","day",40
"years","ago",40
"first","time",39
"last","year",39
"next","week",37
"high","school",36
"make","sure",34
"im","just",33
"even","though",32
"let","know",31
"now","im",31
"just","like",30
"last","week",29
"one","day",29
"dont","like",28
"great","day",28
"can","see",27
"im","gonna",27
"long","time",27
"look","like",27
"social","media",27
"sounds","like",27
"years","old",27
"thanks","follow",26
"can","make",25
"didnt","know",25
"let","us",25
"dont","get",24
"every","day",24
"every","time",24
"fun","fun",24
"getting","ready",24
"lets","go",24
"can","tell",23
"dont","care",23
"look","forward",23
"pretty","much",23
"wait","see",23
"follow","back",22
"ive","got",22
"little","bit",22
"many","people",22
"new","year",22
"anyone","else",21
"can","go",21
"cant","believe",21
"good","thing",21
"just","saw",21
"think","im",21
"two","years",21
"dont","forget",20
"dont","let",20
"im","glad",20
"im","still",20
"know","im",20
"really","like",20
"will","get",20
"dont","even",19
"go","back",19
"happy","mothers",19
"im","sorry",19
"ive","never",19
"join","us",19
"just","want",19
"next","time",19
"one","thing",19
"thanks","much",19
"whats","going",19
"will","never",19
"didnt","get",18
"rt","rt",18
"thanks","rt",18
"us","know",18
"want","see",18
"will","make",18
"dont","need",17
"ice","cream",17
"im","trying",17
"just","one",17
"tell","us",17
"thank","much",17
"best","friend",16
"first","day",16
"good","day",16
"im","ready",16
"last","time",16
"lets","get",16
"like","im",16
"need","get",16
"one","person",16
"pretty","good",16
"really","good",16
"seems","like",16
"thanks","following",16
"can","help",15
"day","today",15
"great","time",15
"happy","new",15
"just","dont",15
"know","youre",15
"last","years",15
"let","go",15
"lets","see",15
"much","fun",15
"please","follow",15
"sound","like",15
"way","back",15
"will","take",15
"year","old",15
"can","find",14
"can","use",14
"cant","go",14
"feel","free",14
"going","get",14
"great","weekend",14
"id","like",14
"last","day",14
"much","better",14
"now","just",14
"thats","just",14
"united","states",14
"valentines","day",14
"way","go",14
"youre","going",14
"can","take",13
"even","know",13
"every","single",13
"five","years",13
"get","back",13
"good","night",13
"got","home",13
"hope","everyone",13
"ive","ever",13
"just","get",13
"last","minute",13
"now","time",13
"people","dont",13
"ready","go",13
"something","like",13
"spend","time",13
"stay","tuned",13
"take","care",13
"think","can",13
"two","days",13
"two","weeks",13
"want","know",13
"youre","welcome",13
"can","just",12
"can","say",12
"cant","get",12
"come","back",12
"come","see",12
"didnt","want",12
"doesnt","make",12
"doesnt","mean",12
"dont","really",12
"follow","please",12
"get","better",12
"great","job",12
"ha","ha",12
"looked","like",12
"make","sense",12
"much","like",12
"much","time",12
"new","years",12
"next","year",12
"oh","yeah",12
"one","best",12
"r","u",12
"san","diego",12
"san","francisco",12
"see","u",12
"super","bowl",12
"thats","good",12
"three","years",12
"trying","get",12
"u","can",12
"white","house",12
"will","also",12
"will","always",12
"will","ever",12
"will","see",12
"another","day",11
"awkward","moment",11
"best","part",11
"can","also",11
"cant","find",11
"didnt","like",11
"dont","feel",11
"dont","worry",11
"even","better",11
"feels","like",11
"friday","night",11
"get","away",11
"get","ready",11
"going","try",11
"good","news",11
"happy","hour",11
"hard","work",11
"hope","well",11
"im","bored",11
"im","looking",11
"im","really",11
"just","finished",11
"just","made",11
"never","know",11
"now","can",11
"now","know",11
"take","long",11
"take","time",11
"thats","right",11
"thou","art",11
"thought","id",11
"tonight","pm",11
"wanna","go",11
"will","back",11
"will","come",11
"will","help",11
"youve","got",11
"best","buy",10
"can","never",10
"coming","back",10
"coming","soon",10
"dont","wanna",10
"feel","better",10
"get","new",10
"go","bed",10
"go","follow",10
"go","get",10
"go","see",10
"god","bless",10
"gonna","go",10
"harry","potter",10
"help","us",10
"id","love",10
"im","always",10
"im","good",10
"im","talking",10
"keep","mind",10
"know","love",10
"late","night",10
"little","girl",10
"lot","people",10
"make","happen",10
"merry","christmas",10
"much","love",10
"oh","god",10
"one","another",10
"one","direction",10
"one","last",10
"people","know",10
"people","think",10
"pretty","sure",10
"really","need",10
"really","want",10
"rt","im",10
"someone","else",10
"think","just",10
"time","get",10
"time","year",10
"tomorrow","night",10
"wanted","make",10
"well","just",10
"will","give",10
"will","go",10
